"street","state","city","county","country","postal_code","neighborhood","sublocality","housenumber","postal_town","subpremise","latitude","longitude","location_type","postal_code_suffix","street_number","address"
"Southway Drive","Minnesota","St. Cloud","Stearns County","United States","56301","","","","","","45.514563","-94.16293759999999","ROOFTOP","","3302","3302 Southway Drive St Cloud MN 56301 
"
"South Saginaw Street","Michigan","Flint","Genesee County","United States","48507","","","","","","42.95383409999999","-83.65919629999999","ROOFTOP","","5315","5315 S SAGINAW Rd Flint MI 48507 
"
"West 73rd Street","Kansas","Prairie Village","Johnson County","United States","66208","Prairie Fields","","","","","38.99770820000001","-94.6339979","ROOFTOP","2928","4133","4133 W 73 St Praine Villagers 66208 
"
"West Market Street","Ohio","Fairlawn","Summit County","United States","44333","","","","","","41.1247957","-81.60381939999999","ROOFTOP","","2770","2770 WEST MARKET STREET OHB594 FAIRLAWN OH 44333 
"
"East 2nd Street","New Jersey","Scotch Plains","Union County","United States","07076","","","","","7","40.6484752","-74.39791939999999","ROOFTOP","1749","1801","1801 E 2nd St Suite 7 Scotch Plains NJ 07076 
"
"Northwest Wildwood Drive","Missouri","Blue Springs","Jackson County","United States","64015","","","","","","39.0368449","-94.28251999999999","ROOFTOP","1794","1508","1508 NW Wildwood Drive Blue Springs Missouri 64015 
"
"Jefferson Boulevard","Rhode Island","Warwick","Kent County","United States","02886","","","","","","41.7346134","-71.4404651","ROOFTOP","1359","480","480 Jefferson Blvd Warwick RI 02886 
"
"North Milwaukee Avenue","Illinois","Chicago","Cook County","United States","60618","Avondale","","","","","41.9360176","-87.7174948","ROOFTOP","","2989","2989 N Milwaukee Ave Chicago IL 60618 
"
"Bay City Road","Michigan","Midland","Midland County","United States","48642","","","","","","43.6055479","-84.19194759999999","ROOFTOP","","2909","2909 Bay clold midland Mi 48642 
"
"North Ridgeview Road","Kansas","Olathe","Johnson County","United States","66061","North Ridge","","","","","38.8990488","-94.79586239999999","ROOFTOP","2944","1100","1100 N Ridgeview Rd Olathe KS 66061 
"
"Constitution Avenue Northwest","District of Columbia","Washington","","United States","20560","Northwest Washington","","","","","38.89127930000001","-77.03005089999999","ROOFTOP","","1300","SMITHSONIAN INSTITUTION National Museum of American History Lemelson Center 14th Street Constitution Avenue NW Washington DC 20013 
"
"Fernwood Road","Maryland","Bethesda","Montgomery County","United States","20817","","","","","","39.0247171","-77.1382699","ROOFTOP","1102","10400","10400 Fernwood Rd Bethesda MD 20817 
"
"Lakecrest Drive","Texas","Addison","Dallas County","United States","75001","","","","","","32.9450982","-96.846344","ROOFTOP","3128","14637","14637 Lakecrest Dr Addison TX 75001 
"
"Krafft Road","Michigan","Fort Gratiot Township","St. Clair County","United States","48059","","","","","","43.023563","-82.476967","ROOFTOP","3706","3525","3525 Krafft Rd Fort Gratiot MI 48059 
"
"Keystone Crossing","Indiana","Indianapolis","Marion County","United States","46240","Washington Township","","","","Ste 401","39.911648","-86.111266","ROOFTOP","","8500","8500 keysture Crossus sto 150 Indpls IN 46240 
"
"1st Avenue","Arizona","Holbrook","Navajo County","United States","86025","","","","","","34.901563","-110.160996","ROOFTOP","","103","CHANGE POINT 103N ISTAVE HOIBROOK AZ 86025 
"
"Mahaffy Avenue","Michigan","Rochester Hills","Oakland County","United States","48307","","","","","","42.6934683","-83.1324997","ROOFTOP","1507","1385","1385 Mahaffey Rochester Hills MI 48307 
"
"Cabot Road","Massachusetts","Medford","Middlesex County","United States","02155","","","","","","42.4071503","-71.07382609999999","ROOFTOP","5141","20","20 cabot Rd Med ford MA 02155 
"
"Southwest 21st Street","Minnesota","Grand Rapids","Itasca County","United States","55744","","","","","","47.2106678","-93.5359369","ROOFTOP","","315","St Joseph s School 315 SW 21st St Grand Rapids MN 55744 
"
"West Atmore Road","Utah","West Jordan","Salt Lake County","United States","84084","","","","","","40.6353366","-111.9811965","ROOFTOP","1402","3782","3782 W Atmore Rd West Jordan UT 84084 
"
"Eastern Avenue","Maryland","Baltimore","","United States","21202","Inner Harbor","","","","","39.2847652","-76.6056145","ROOFTOP","","711","711 EASTERN AVE Dept Floor Suite Room City BALTIMORE State MD ZIP 21202 
"
"Goldcrest Heights Northwest","Washington","Olympia","Thurston County","United States","98502","Goldcrest","","","","","47.0623734","-122.9484485","RANGE_INTERPOLATED","4006","3724","3724 Goldcrest Heights 98502 Olympia WA 
"
"Northwest Gainesville Road","Florida","Ocala","Marion County","United States","","","","","","","29.222242","-82.14964300000001","GEOMETRIC_CENTER","","","30 NW Gainsville Rd Ocala Fla 34982 
"
"East Crossing Boulevard","Indiana","Terre Haute","Vigo County","United States","47802","","","","","","39.39985799999999","-87.3946387","ROOFTOP","","1450","1450 E Crossing Blvd Terre Haute IN 47802 
"
"6th Street","Illinois","Mendota","LaSalle County","United States","61342","","","","","","41.54793919999999","-89.11513029999999","ROOFTOP","","500","500 6th Street Mendota IL 61342 
"
"Northern Oak Drive","Georgia","Braselton","Gwinnett County","United States","30517","","","","","","34.1099431","-83.8461277","ROOFTOP","","2394","2394 Northern Oak Dr Braselton GA 30517 
"
"West Drive","Ohio","Lima","Allen County","United States","45801","","","","","","40.7846404","-84.1087506","GEOMETRIC_CENTER","","","1470 W Humne Rd Lima Ohio 458064 
"
"","Nebraska","Kearney","Buffalo County","United States","","","","","","","40.69933030000001","-99.0816784","APPROXIMATE","","","Kearney 5180 Woodhurst et Fredenck MD 21783 
"
"Douglas Drive","California","Oceanside","San Diego County","United States","92058","San Luis Rey","","","","","33.2265805","-117.3264641","ROOFTOP","","41","41 Douglas Dr 01 Oceanside CA 92058 
"
"Cindy Hollow Road","Tennessee","Estill Springs","Franklin County","United States","37330","","","","","","35.2854592","-86.1473728","ROOFTOP","3729","815","815 Cindy Hollow Rd Estil Spring TN 37330 
"
"Hilary Drive","California","Tiburon","Marin County","United States","94920","Belvedere Tiburon","","","","","37.8885933","-122.4745428","ROOFTOP","1421","765","765 Hilary Drive Tiburon CA 94920 
"
"Cebu Place","California","Carlsbad","San Diego County","United States","92009","","","","","","33.10643700000001","-117.243256","ROOFTOP","5905","2821","2821 CEBU PL CARLSBAD CA 92009 
"
"Central Avenue Northeast","Minnesota","Andover","Anoka County","United States","55304","","","","","","45.2524204","-93.2347405","ROOFTOP","5610","15531","15531 Central Avenue NE Ham Lake MN 55304 
"
"Cobblemill Way Northwest","Georgia","Kennesaw","Cobb County","United States","30152","","","","","","33.9831493","-84.7008166","ROOFTOP","5298","1291","1291 Cobblemill Way NW Kennesaw GA 30152 
"
"South Tartar Lane","California","Compton","Los Angeles County","United States","90221","","","","","","33.8787384","-118.214136","ROOFTOP","","1680","1680 S Tartar Lane 23 Compton CA 90221 
"
"West Plano Parkway","Texas","Plano","Collin County","United States","75093","","","","","1000YC","33.0188012","-96.8336641","ROOFTOP","","6111","6111 W Plano Parkway suite 1000 YC Plano TX 75287 
"
"U.S. 19","Florida","Holiday","Pasco County","United States","34691","","","","","","28.1899171","-82.7394765","ROOFTOP","4347","2112","2112 US HIGHWAY 19 HOLIDAY FL 34691 
"
"331st Avenue","Minnesota","","Todd County","United States","56466","","","","","","46.2979296","-94.67400029999999","GEOMETRIC_CENTER","","","Paanane 146274 331st Ave Motley mr 56466 
"
"West College Street","Tennessee","Murfreesboro","Rutherford County","United States","37129","","","","","","35.8529927","-86.40361519999999","ROOFTOP","","849","849 w college St Murfreesbon TN 37129 
"
"Sheldon Road","Michigan","Rochester Hills","Oakland County","United States","48306","Clear Creek","","","","","42.7000249","-83.1206665","GEOMETRIC_CENTER","","6755","6755 Sheldon Rochester Hills MI 48306 
"
"Hilary Drive","California","Tiburon","Marin County","United States","94920","Belvedere Tiburon","","","","","37.8885933","-122.4745428","ROOFTOP","1421","765","765 Hilary Drive Tiburon CA 94920 
"
"U.S. 19","Florida","Holiday","Pasco County","United States","34691","","","","","","28.1899171","-82.7394765","ROOFTOP","4347","2112","2112 US HIGHWAY 19 HOLIDAY FL 34691 
"
"","Missouri","New London","Ralls County","United States","63459","","","","","","39.5853222","-91.4009835","APPROXIMATE","","","2045 Strude St New London mo 63459 
"
"Cypress Hill Drive","Texas","Spring","Harris County","United States","77388","","","","","","30.0295211","-95.473753","GEOMETRIC_CENTER","","","14126 Cypress Hill Dr Spring TX 77388 
"
"Pebble Road","Georgia","Canton","Cherokee County","United States","30114","","","","","","34.177265","-84.5200275","ROOFTOP","8868","603","Wakefield 603 Pebble Rd Canton GA 30114 
"
